publication_number,title,abstract,publication_date,ipc_codes,assignees
CA-3099154-A1,Carrier for adsorbing organic matter,"An object of the present invention is to provide a carrier for adsorbing organic matter, which achieves both of adsorption ability for organic matter and suppression of pressure increase. The present invention provides a carrier for adsorbing organic matter, comprising a sea-island type solid composite fiber, wherein the pore volume is 0.05 to 0.5 cm3/g and the fiber diameter is 25 to 60 µm.",20200206,B01D15/00,TORAY INDUSTRIES
EP-3778496-A1,Water treatment method and water treatment apparatus,"The purpose of the present invention is to provide a water generating method for obtaining a low-concentration permeate by means of a reverse osmosis membrane module by using raw water such as sea water, as well as river water, groundwater, lake water, treated waste water, and so forth that contain salt, and to provide, in particular, a water treatment method and a water treatment apparatus for stably obtaining fresh water at low cost while preventing oxidative degradation of the reverse osmosis membrane module. Provided are: a water treatment method and a water treatment apparatus in which, in a reverse-osmosis-membrane treatment step for obtaining a low-concentration permeate by means of a reverse osmosis membrane module by using raw water such as sea water, as well as river water, groundwater, lake water, treated waste water, and so forth that contain salt, a scale inhibitor is added by determining the optimal adding timing in order to reductively neutralize oxidizing substances contained in water to be treated, which is supplied to the reverse osmosis membrane module.",20210217,"C02F5/14,B01D61/12,C02F5/12,B01D61/08,C02F1/70,C02F5/00,B01D61/04,B01D65/08,B01D65/02,C02F1/44",TORAY INDUSTRIES
JP-2018122221-A,Composite semipermeable membrane,"PROBLEM TO BE SOLVED: To provide a composite semipermeable membrane having high water generation property and high desalting performance.SOLUTION: A composite semipermeable membrane has a porous support membrane having a base material and a porous support layer and a separation function layer provided on the porous support layer, where a ratio (A) of carboxyl group number density/oxygen atom number density on the surface and a ratio (B) with a detection depth of 1×10atoms/cm, which are obtained by measuring the separation function layer using Rutherford back scattering (RBS) satisfy a relationship of 0.015&lt;A&lt;B, and the composite semipermeable membrane has high water generation property and high desalting performance.SELECTED DRAWING: None",20180809,"B01D69/00,B01D69/12,B01D69/10,B01D69/02",TORAY INDUSTRIES
CN-112218705-A,Separation membrane,"The object of the present invention is to stably maintain high separation performance for a separation membrane having a dense carbon layer separation layer. The present invention is a separation membrane having a separation layer formed of a dense carbon layer, particles adhering to the surface of the dense carbon layer, and a recess in the dense carbon layer, wherein at least a part of the particles enter the recess.",20210112,"B01D71/02,B01D69/12",TORAY INDUSTRIES
US-2018369758-A1,Composite semipermeable membrane and method for producing composite semipermeable membrane,"This composite semipermeable membrane is provided with: a porous supporting membrane that comprises a base and a porous supporting layer; and a separating function layer that is provided on the porous supporting layer. With respect to this composite semipermeable membrane, the standard deviation of pore radius of the separating function layer as determined by positron annihilation lifetime measurement is 0.025 nm or less.",20181227,"B01D69/12,B01D71/56,B01D69/10,B01D69/02",TORAY INDUSTRIES
EP-3278867-A4,Separation membrane,,20180829,"B01D71/18,B01D69/08,B01D71/48,B01D71/14,B01D71/56,B01D69/12,B01D71/16,B01D67/00,B01D69/02",TORAY INDUSTRIES
WO-2022168578-A1,"Method for manufacturing laminate, method for manufacturing polymer thin film, and laminate","The present invention provides a method for efficiently and uniformly manufacturing a laminate that has a layer of a polymer coating film in which a plurality of through-holes having a specific shape are formed.　This method for manufacturing a laminate having a layer of a polymer coating film in which a plurality of through-holes having a specific shape are formed comprises arranging a mold in which a plurality of recesses are formed in one surface thereof and the opening shape of the recesses is the specific shape of the through-holes in the polymer coating film, applying a coating material to the surface of the mold in which the recesses are formed, causing the coating material applied to the recess portions to drop into the recesses and drying the coating material while causing the coating material applied to the portion other than the recesses to remain on the surface of the mold to form a polymer coating film in which the portions corresponding to the recesses become through-holes, pressing a support on the mold via the polymer coating film, and peeling the polymer coating film from the mold together with the support.",20220811,"B01D71/06,B01D67/00",TORAY INDUSTRIES
KR-20200098503-A,,,20200820,"B01D53/22,B01D71/56,B01D69/12,B01D69/10,B01D63/10",TORAY INDUSTRIES
CN-118591666-A,Electret melt-blown nonwoven fabric and air filter medium using same,"An electret melt-blown nonwoven fabric which comprises polyolefin resin fibers and is soft and has a high elongation even without special post-processing treatment or without special additives, wherein the crystallization temperature at 1st temperature rise in a circulating DSC is 80-130 ℃ and the heat delta Hm is 3.0-20.0J/g.",20240903,"B01D39/16,B01D39/14",TORAY INDUSTRIES
EP-3202486-A4,Separation membrane,,20180523,"C02F1/44,B01D71/18,B01D61/02,B01D69/08,B01D61/00,B01D71/52",TORAY INDUSTRIES
CN-104854038-A,Water treatment method,"The present invention addresses the problem of providing a water treatment method for efficiently removing impurities such as suspended substances contained in raw water using a separation membrane, particularly a water treatment method for steadily producing clarified water, which has high water quality enough to be used as supply water for a reverse osmosis membrane unit, using a microfiltration membrane or an ultrafiltration membrane. The means for solving the problem is as follows: a cationic aggregating agent is added to raw water a to prepare aggregated primary treated water; the aggregated primary treated water is used as final aggregated treated water without any modification when the zeta potential of the aggregated primary treated water b is less than 0 mV, and an anionic substance is added to the aggregated primary treated water b so as to adjust the zeta potential of the resultant water to a value less than 0 mV and the resultant water is used as final aggregated treated water when the zeta potential of the aggregated primary treated water b is 0 mV or more; and the final aggregated treated water is treated using a separation membrane having a surface zeta potential of less than 0 mV to produce treated water d.",20150819,"C02F1/56,C02F1/52,C02F1/44",TORAY INDUSTRIES
